Address,Price,Property Type
"11, Boulevard Apartments, 33, Ufford Street, London, Greater London SE1 8FF","£683,850",Flat
"Flat 2, 1, Colnbrook Street, London, Greater London SE1 6EZ","£430,000",Flat
"30, Whites Grounds Estate, London, Greater London SE1 3JZ","£440,000",flat
"Flat 12, 22e, Leathermarket Street, London, Greater London SE1 3HP","£1,040,000",Flat
"Apartment 174, Metro Central Heights, 119, Newington Causeway, London, Greater London SE1 6BT","£415,000",Flat
"Ground Floor Flat, 147, Bermondsey Street, London, Greater London SE1 3UW","£1,330,000",flat
"35, Pearman Street, London, Greater London SE1 7RB","£1,080,000",terraced
"28b, Maltings Place, London, Greater London SE1 3JB","£540,000",Flat
"35, Roupell Street, London, Greater London SE1 8TB","£1,325,000",terraced
"42, Boulevard Apartments, 33, Ufford Street, London, Greater London SE1 8FF","£705,600",Flat
"Apartment 13, 8, Bluelion Place, London, Greater London SE1 4PU","£612,000",Flat
"Flat 207, Whitehouse Apartments, 9, Belvedere Road, London, Greater London SE1 8YR","£725,000",Flat
"31, Boulevard Apartments, 33, Ufford Street, London, Greater London SE1 8FF","£684,000",Flat
"20, Boulevard Apartments, 33, Ufford Street, London, Greater London SE1 8FF","£1,590,000",Flat
"48, West Square, London, Greater London SE11 4SP","£1,325,000",terraced
"17, Boulevard Apartments, 33, Ufford Street, London, Greater London SE1 8FF","£920,000",Flat
"Flat 1910, 8, Casson Square, London, Greater London SE1 7ST","£828,750",Flat
"37, Boulevard Apartments, 33, Ufford Street, London, Greater London SE1 8FF","£1,155,000",Flat
"34, Boulevard Apartments, 33, Ufford Street, London, Greater London SE1 8FF","£703,250",Flat
"Flat 1, Shaftesbury House, Trinity Street, London, Greater London SE1 4JF","£650,000",Flat
"19, Boulevard Apartments, 33, Ufford Street, London, Greater London SE1 8FF","£1,065,900",Flat
"41, Boulevard Apartments, 33, Ufford Street, London, Greater London SE1 8FF","£1,214,400",Flat
"6, Boulevard Apartments, 33, Ufford Street, London, Greater London SE1 8FF","£890,000",Flat
"39, Boulevard Apartments, 33, Ufford Street, London, Greater London SE1 8FF","£700,800",Flat
"2, Boulevard Apartments, 33, Ufford Street, London, Greater London SE1 8FF","£895,000",Flat
