Address,Price,Property Type
"30, Blenheim House, Crown Square, London, Greater London SE1 2SF","£3,050,000",Flat
"4, Carmarthen Place, London, Greater London SE1 3TS","£1,250,000",detached
"35, Whittlesey Street, London, Greater London SE1 8TA","£777,000",flat
"Flat 13, Holmwood Buildings, 97, Southwark Street, London, Greater London SE1 0JE","£430,000",Flat
"Flat 511, Bankside Lofts, 65, Hopton Street, London, Greater London SE1 9GZ","£1,600,000",Flat
"Ground Floor Flat, 152, Southwark Bridge Road, London, Greater London SE1 0DG","£420,000",Flat
"Flat 1, Triangle Court, 10, Redcross Way, London, Greater London SE1 1TA","£475,000",Flat
"Flat 66, Eastwell House, Weston Street, London, Greater London SE1 4DJ","£365,000",flat
"Apartment 326, Metro Central Heights, 119, Newington Causeway, London, Greater London SE1 6DB","£925,000",Flat
"Flat 22, Lion Court, 12, Shand Street, London, Greater London SE1 2EP","£525,000",Flat
"Flat 45, Devon Mansions, Tooley Street, London, Greater London SE1 2UD","£570,000",flat
"Flat 5, Block C, 27, Green Walk, London, Greater London SE1 4TQ","£1,375,000",Flat
"17, Valentine Row, London, Greater London SE1 8BN","£2,000,000",Terraced
"84, Tudor House, Duchess Walk, London, Greater London SE1 2SA","£1,550,000",Flat
"12, Boulevard Apartments, 33, Ufford Street, London, Greater London SE1 8FF","£1,055,000",Flat
"47a, Maltings Place, London, Greater London SE1 3JB","£445,000",Flat
"Flat 8, Tadworth House, Webber Street, London, Greater London SE1 0RH","£472,500",flat
"Flat 25, Simla House, Kipling Estate, London, Greater London SE1 3RL","£330,000",flat
"Apartment 902, 251, Southwark Bridge Road, London, Greater London SE1 6FJ","£187,500",Flat
"Apartment 474, Metro Central Heights, 119, Newington Causeway, London, Greater London SE1 6DT","£525,000",Flat
"Flat 209, 151, Tower Bridge Road, London, Greater London SE1 3JE","£620,000",Flat
"Flat 11, Holst Court, 65, Westminster Bridge Road, London, Greater London SE1 7JQ","£650,000",Flat
"Flat 4, Lumiere Court, 52, Lancaster Street, London, Greater London SE1 0RY","£203,000",Flat
"Flat 4, 52, Tanner Street, London, Greater London SE1 3PH","£580,000",Flat
"Flat 53, South Block 1a, Belvedere Road, London, Greater London SE1 7GB","£510,000",Flat
