Address,Price,Property Type
"Flat 1912, 8, Casson Square, London, Greater London SE1 7ST","£700,000",Flat
"Flat 2, 239, Waterloo Road, London, Greater London SE1 8XH","£890,000",Flat
"Flat 305, 151, Tower Bridge Road, London, Greater London SE1 3JE","£763,200",Flat
"63, Balmoral House, Earls Way, London, Greater London SE1 2QR","£2,100,000",Flat
"Flat 107, 118, Southwark Bridge Road, London, Greater London SE1 0BQ","£570,000",Flat
"36c, Aquinas Street, London, Greater London SE1 8AD","£560,000",flat
"Flat 12, Globe View House, 171, Blackfriars Road, London, Greater London SE1 8ER","£518,000",Flat
"Flat 1, 3, Market Yard Mews, London, Greater London SE1 3TJ","£1,225,000",Flat
"Flat 11, Binnie House, Bath Terrace, London, Greater London SE1 6QG","£300,000",flat
"62b, Trinity Church Square, London, Greater London SE1 4HT","£1,000,000",flat
"21, Boulevard Apartments, 33, Ufford Street, London, Greater London SE1 8FF","£1,092,000",Flat
"Flat 18, 14, Keppel Row, London, Greater London SE1 0FB","£1,175,000",Flat
"Apartment 358, Metro Central Heights, 119, Newington Causeway, London, Greater London SE1 6DQ","£259,000",Flat
"Flat 416, 118, Southwark Bridge Road, London, Greater London SE1 0BQ","£537,500",Flat
"Flat 37, Eastwell House, Weston Street, London, Greater London SE1 4DH","£440,000",Flat
"Flat 306, Block D, 5, Sumner Street, London, Greater London SE1 9RE","£815,000",Flat
"20, Buckstone Apartments, 140, Blackfriars Road, London, Greater London SE1 8BW","£320,000",Flat
"Flat 1, 79, Bermondsey Street, London, Greater London SE1 3XF","£557,500",Flat
"Flat 15, Lyly House, Burbage Close, London, Greater London SE1 4EQ","£460,000",flat
"Flat 3, Kittiwake Court, 4, Great Dover Street, London, Greater London SE1 4XR","£465,000",Flat
"Flat 2, 145, Bermondsey Street, London, Greater London SE1 3UW","£1,600,000",Flat
"Flat 22, 12, Bermondsey Square, London, Greater London SE1 3FD","£600,000",Flat
"Flat 602, 151, Tower Bridge Road, London, Greater London SE1 3JE","£600,000",Flat
"Apartment 5, 10, Rushworth Street, London, Greater London SE1 0RB","£1,090,000",Flat
"1105, 1, Casson Square, London, Greater London SE1 7GT","£1,500,000",Flat
