Address,Price,Property Type
"Flat 18, The Grain Store, 70, Weston Street, London, Greater London SE1 3HJ","£1,175,000",Flat
"Flat 29, Quentin House, Gray Street, London, Greater London SE1 8UY","£495,000",flat
"12, Purbrook Estate, London, Greater London SE1 3BZ","£350,000",Flat
"Apartment 427, Metro Central Heights, 119, Newington Causeway, London, Greater London SE1 6DT","£430,000",Flat
"Flat 2, 59, Great Suffolk Street, London, Greater London SE1 0BD","£135,000",Flat
"Flat 57, 12, Bermondsey Square, London, Greater London SE1 3FD","£150,000",Flat
"269, Empire Square West, London, Greater London SE1 4NL","£630,000",Flat
"2a, Hankey Place, London, Greater London SE1 4BQ","£1,525,000",Semi-Detached
"110, St Georges Road, London, Greater London SE1 6EU","£1,930,000",terraced
"Flat 16, Icon Apartments, 15, Cluny Place, London, Greater London SE1 4QS","£1,100,000",Flat
"Flat 8, 12, Bermondsey Square, London, Greater London SE1 3FD","£489,000",Flat
"Flat 18, 91, Newington Causeway, London, Greater London SE1 6BN","£500,100",Flat
"Flat 101 Block B, 27, Green Walk, London, Greater London SE1 4TX","£850,000",Flat
"Apartment 508, West Block, Forum Magnum Square, London, Greater London SE1 7GL","£470,000",flat
"Flat 32, The Perspective, 100, Westminster Bridge Road, London, Greater London SE1 7XA","£670,800",Flat
"Flat 5, 7, Valentine Place, London, Greater London SE1 8QH","£913,000",Flat
"Flat 129, 100, Westminster Bridge Road, London, Greater London SE1 7XB","£455,000",Flat
"Flat 7, Merrow House, Rushworth Street, London, Greater London SE1 0QZ","£440,000",flat
"36, Rephidim Street, London, Greater London SE1 4XB","£440,000",flat
"Flat 16, Brandon House, 10, Hilary Mews, London, Greater London SE1 1AP","£1,268,700",Flat
"33, Leathermarket Court, London, Greater London SE1 3HS","£697,100",flat
"Flat 96, Devon Mansions, Tooley Street, London, Greater London SE1 2LB","£435,000",flat
"6, Hayles Street, London, Greater London SE11 4SS","£1,450,000",terraced
"Flat 4, 54, Lant Street, London, Greater London SE1 1RF","£485,000",Flat
"2201, 1, Casson Square, London, Greater London SE1 7EN","£1,875,000",Flat
