Address,Price,Property Type
"Apartment 2802, 251, Southwark Bridge Road, London, Greater London SE1 6FN","£1,045,000",Flat
"Flat 32, Portland Court, 1, Falmouth Road, London, Greater London SE1 4JX","£831,000",Flat
"Flat 101, Ratcliffe Court, Great Dover Street, London, Greater London SE1 4LD","£1,000,000",flat
"Flat 71, 12, Bermondsey Square, London, Greater London SE1 3FD","£580,000",Flat
"Apartment 196, 1, Blackfriars Road, London, Greater London SE1 9GQ","£975,000",Flat
"Flat 4, 28, Park Street, London, Greater London SE1 9EQ","£1,200,000",Flat
"Flat 222, Whitehouse Apartments, 9, Belvedere Road, London, Greater London SE1 8YR","£955,000",Flat
"Apartment 601, 251, Southwark Bridge Road, London, Greater London SE1 6FJ","£540,000",Flat
"Apartment 214, Metro Central Heights, 119, Newington Causeway, London, Greater London SE1 6BW","£465,000",Flat
"Flat 35, Globe View House, 27, Pocock Street, London, Greater London SE1 0FU","£420,000",Flat
"Flat 702, Block B, 60, Holland Street, London, Greater London SE1 9JF","£1,575,000",Flat
"Flat 336, Whitehouse Apartments, 9, Belvedere Road, London, Greater London SE1 8YS","£575,000",Flat
"Flat 41, Peveril House, Rephidim Street, London, Greater London SE1 4TD","£265,000",flat
"75, Empire Square East, London, Greater London SE1 4NB","£425,000",Flat
"Flat 316, 118, Southwark Bridge Road, London, Greater London SE1 0BQ","£430,000",Flat
"Apartment 2, Eliza House, 38, Glasshill Street, London, Greater London SE1 0QR","£1,200,000",Flat
"Flat 7, 14, Weller Street, London, Greater London SE1 1QU","£670,000",Flat
"117, Elim Estate, London, Greater London SE1 4DD","£227,500",Flat
"Flat 3, Sharpley Court, 8a, Pocock Street, London, Greater London SE1 0BJ","£675,000",Flat
"Flat 80, Walpole House, 126, Westminster Bridge Road, London, Greater London SE1 7UN","£860,000",Flat
"46, Buckstone Apartments, 140, Blackfriars Road, London, Greater London SE1 8BW","£640,000",Flat
"Flat 7, 12, Bermondsey Square, London, Greater London SE1 3FD","£690,000",Flat
"31, Balmoral House, Earls Way, London, Greater London SE1 2QR","£1,025,000",Flat
"Apartment 29, 1, Blackfriars Road, London, Greater London SE1 9GD","£2,000,000",Flat
"Apartment 2202, 55, Upper Ground, London, Greater London SE1 9RB","£2,000,000",Flat
