Address,Price,Property Type
"Flat 1, Eynsford House, Crosby Row, London, Greater London SE1 3YB","£380,000",flat
"Flat 19, Babington House, Redcross Way, London, Greater London SE1 1EZ","£527,000",flat
"Flat 10, Beeston House, Burbage Close, London, Greater London SE1 4ER","£390,000",Flat
"106a, Tooley Street, London, Greater London SE1 2TH","£582,500",flat
"Flat 30, Hayles Buildings, Elliotts Row, London, Greater London SE11 4TB","£425,000",flat
"7, Elliston Apartments, 9, Glade Path, London, Greater London SE1 8EG","£652,000",Flat
"Flat 8, Heldar Court, Kipling Estate, London, Greater London SE1 3RH","£367,500",flat
"Flat 2, 116, Bermondsey Street, London, Greater London SE1 3TX","£900,000",Flat
"50, Elim Estate, London, Greater London SE1 4DA","£485,000",Flat
"Flat 31, Longstone Court, 22, Great Dover Street, London, Greater London SE1 4LB","£480,000",Flat
"Flat 52, Rennie Court, 11, Upper Ground, London, Greater London SE1 9LP","£870,000",Flat
"Flat 38, Simla House, Kipling Estate, London, Greater London SE1 3RL","£422,500",flat
"Flat 8, 7, Winchester Square, London, Greater London SE1 9BN","£570,000",Flat
"6, Delphini Apartments, 10, St Georges Circus, London, Greater London SE1 8EH","£555,000",Flat
"Flat 10, 30, Trinity Street, London, Greater London SE1 4FF","£576,000",Flat
"Flat 1216, Whitehouse Apartments, 9, Belvedere Road, London, Greater London SE1 8YW","£4,250,000",Flat
"Flat 1, Rennie Court, 11, Upper Ground, London, Greater London SE1 9LP","£810,000",Flat
"Flat 20, Lewes House, Druid Street, London, Greater London SE1 2ET","£375,000",flat
"Flat 19, Lake House, Scovell Road, London, Greater London SE1 1QF","£400,000",flat
"201, 30, Casson Square, London, Greater London SE1 7GY","£950,000",Flat
"Apartment 399, Metro Central Heights, 119, Newington Causeway, London, Greater London SE1 6DX","£282,500",Flat
"Flat 32, Bridgewalk Heights, 80, Weston Street, London, Greater London SE1 3QZ","£1,005,003",Flat
"Flat 23, Bridgehouse Court, Blackfriars Road, London, Greater London SE1 8HW","£756,000",flat
"Studio 1, Clink Wharf, Clink Street, London, Greater London SE1 9DG","£1,900,000",flat
"Flat 41, Santley House, Frazier Street, London, Greater London SE1 7RD","£475,000",Flat
