Address,Price,Property Type
"Flat 165, South Block 1b, Belvedere Road, London, Greater London SE1 7GE","£830,000",Flat
"Flat 603, 151, Tower Bridge Road, London, Greater London SE1 3JE","£950,000",Flat
"Flat 36, Shere House, Great Dover Street, London, Greater London SE1 4YQ","£420,000",flat
"154, Union Street, London, Greater London SE1 0LH","£392,000",Flat
"Apartment 125, Metro Central Heights, 119, Newington Causeway, London, Greater London SE1 6BB","£635,000",Flat
"Flat 1, Royal Standard Apartments, 42, Harper Road, London, Greater London SE1 6AD","£480,000",Flat
"Flat 38, Portland Court, 1, Falmouth Road, London, Greater London SE1 4JX","£670,000",Flat
"1308, 1, Casson Square, London, Greater London SE1 7GT","£750,000",Flat
"Flat 209, Whitehouse Apartments, 9, Belvedere Road, London, Greater London SE1 8YR","£465,000",Flat
"17, Copperfield Street, London, Greater London SE1 0EP","£600,000",terraced
"Flat 1, 12, Trinity Street, London, Greater London SE1 1DB","£315,000",Flat
"Flat 3, 162, Southwark Bridge Road, London, Greater London SE1 0DG","£803,000",Flat
"15, Potier Street, London, Greater London SE1 4UX","£575,000",Flat
"3, Kamen House, 17 - 21, Magdalen Street, London, Greater London SE1 2RH","£194,000",Flat
"4, La Gare Apartments, 51, Surrey Row, London, Greater London SE1 0BZ","£1,200,000",Flat
"Apartment 8, Metro Central Heights, 119, Newington Causeway, London, Greater London SE1 6BA","£250,000",Flat
"Flat 23, Chamberlain House, 126, Westminster Bridge Road, London, Greater London SE1 7UR","£670,000",Flat
"65e, Stamford Street, London, Greater London SE1 9NB","£660,000",flat
"Apartment 2408, 251, Southwark Bridge Road, London, Greater London SE1 6FN","£720,000",Flat
"Ground Floor Flat, 22, Pearman Street, London, Greater London SE1 7RB","£545,000",flat
"48, Pilgrimage Street, London, Greater London SE1 4LL","£900,000",terraced
"Flat 63, Falcon Point, Hopton Street, London, Greater London SE1 9JB","£700,000",flat
"Flat 42, Longstone Court, 22, Great Dover Street, London, Greater London SE1 4LB","£630,000",Flat
"26, Oxford Drive, London, Greater London SE1 2FB","£580,000",flat
"Flat 9, Sycamore Court, Royal Oak Yard, London, Greater London SE1 3TR","£860,000",Flat
