Address,Price,Property Type
"Flat 102b, Larch Court 2, Royal Oak Yard, London, Greater London SE1 3GB","£550,000",Flat
"Flat 202, Block C, 27, Green Walk, London, Greater London SE1 4TQ","£810,000",Flat
"Apartment 1111, 55, Upper Ground, London, Greater London SE1 9EY","£800,000",Flat
"Flat 68, Globe View House, 27, Pocock Street, London, Greater London SE1 0FU","£165,000",Flat
"Apartment 603, Western Building, 3, Triptych Place, London, Greater London SE1 9FL","£1,055,000",Flat
"Flat 627, Whitehouse Apartments, 9, Belvedere Road, London, Greater London SE1 8YT","£795,000",Flat
"Flat 10, Portland Court, 54, Trinity Street, London, Greater London SE1 4JZ","£625,000",Flat
"48, Whites Grounds Estate, London, Greater London SE1 3JZ","£450,000",flat
"9, Colnbrook Street, London, Greater London SE1 6EZ","£1,105,000",terraced
"14, Vintry Court, 18, Porlock Street, London, Greater London SE1 3RY","£575,000",Flat
"Flat 30, Portland Court, 50, Trinity Street, London, Greater London SE1 4JZ","£825,000",Flat
"Flat 29, Bentham House, 7, Falmouth Road, London, Greater London SE1 4JY","£660,000",Flat
"Apartment 1006, 251, Southwark Bridge Road, London, Greater London SE1 6FJ","£625,000",Flat
"Flat 126, 100, Westminster Bridge Road, London, Greater London SE1 7XB","£825,000",Flat
"40, Roupell Street, London, Greater London SE1 8TB","£1,000,000",terraced
"6, Godwin House, Still Walk, London, Greater London SE1 2RA","£1,270,000",Flat
"20, Delphini Apartments, 10, St Georges Circus, London, Greater London SE1 8EH","£1,090,000",Flat
"Flat 39, Brandon House, 10, Hilary Mews, London, Greater London SE1 1AP","£625,000",Flat
"Flat 127, 100, Westminster Bridge Road, London, Greater London SE1 7XB","£650,000",Flat
"Flat 14, Errington House, Brigade Mews, London, Greater London SE1 0GN","£725,000",Flat
"Flat 76, Walpole House, 126, Westminster Bridge Road, London, Greater London SE1 7UN","£900,000",Flat
"30, Gladstone Street, London, Greater London SE1 6EY","£1,499,800",terraced
"Flat 28, Benson House, Hatfields, London, Greater London SE1 8DQ","£370,000",flat
"Flat 22, 14, Keppel Row, London, Greater London SE1 0FB","£2,075,000",Flat
"40, Gladstone Street, London, Greater London SE1 6EY","£1,575,000",terraced
