Address,Price,Property Type
"Flat 39, 5, Brigade Mews, London, Greater London SE1 0GH","£920,000",Flat
"Flat 5, Eynsford House, Crosby Row, London, Greater London SE1 3YB","£350,000",flat
"Flat 127, North Block 1c, Belvedere Road, London, Greater London SE1 7GF","£650,000",Flat
"Flat 38, Newman House, St Georges Road, London, Greater London SE1 6HE","£535,000",flat
"Flat 4, 145, Bermondsey Street, London, Greater London SE1 3UW","£1,635,000",Flat
"Flat 22, Bath House, Bath Terrace, London, Greater London SE1 6PU","£185,000",flat
"Flat 149, South Block 1b, Belvedere Road, London, Greater London SE1 7GE","£435,000",Flat
"2, Godwin House, Still Walk, London, Greater London SE1 2RA","£625,000",Flat
"Apartment 188, 1, Blackfriars Road, London, Greater London SE1 9GQ","£3,050,000",Flat
"Flat 403, Block B, 60, Holland Street, London, Greater London SE1 9JF","£740,000",Flat
"Flat 70, Errington House, 4, Brigade Mews, London, Greater London SE1 0GN","£643,000",Flat
"Flat 203 Block B, 27, Green Walk, London, Greater London SE1 4TX","£950,000",Flat
"65, St Georges Road, London, Greater London SE1 6ER","£1,540,000",terraced
"Flat 20, Walpole House, 126, Westminster Bridge Road, London, Greater London SE1 7UN","£705,000",Flat
"Apartment 7, 35, Westminster Bridge Road, London, Greater London SE1 7JB","£620,000",Flat
"Flat 34, St. Georges Buildings, 37, St Georges Road, London, Greater London SE1 6EP","£390,000",Flat
"Flat 34, 12, Bermondsey Square, London, Greater London SE1 3FD","£655,000",Flat
"Flat 57, Balin House, Long Lane, London, Greater London SE1 1YH","£475,000",flat
"Flat 12, 237, Union Street, London, Greater London SE1 0LR","£481,000",Flat
"Flat 2508, 8, Casson Square, London, Greater London SE1 7RN","£998,000",Flat
"Flat B, 35, Westminster Bridge Road, London, Greater London SE1 7JB","£420,000",Flat
"1, Cottesloe Mews, London, Greater London SE1 7RU","£510,000",terraced
"Flat 22, Portland Court, 50, Trinity Street, London, Greater London SE1 4JZ","£840,000",Flat
"Flat 1, Trocette Mansions, 249, Bermondsey Street, London, Greater London SE1 3UQ","£780,000",Flat
"Flat 16, 46, Borough Road, London, Greater London SE1 0AJ","£310,000",Flat
