Address,Price,Property Type
"11, Gallery Apartments, 6, Lamb Walk, London, Greater London SE1 3GL","£750,000",Flat
"Flat 49, Errington House, Brigade Mews, London, Greater London SE1 0GN","£735,000",Flat
"Flat 50, Errington House, Brigade Mews, London, Greater London SE1 0GN","£740,000",Flat
"Flat 502, Block B, 60, Holland Street, London, Greater London SE1 9JF","£1,850,000",Flat
"Flat 90, South Block 1b, Belvedere Road, London, Greater London SE1 7GD","£727,000",Flat
"Flat 205, 5, Belvedere Road, London, Greater London SE1 7AF","£2,400,000",Flat
"Flat 98, Errington House, Brigade Mews, London, Greater London SE1 0GN","£690,000",Flat
"Flat 81, Errington House, Brigade Mews, London, Greater London SE1 0GN","£1,003,950",Flat
"46, Rothsay Street, London, Greater London SE1 4UE","£710,000",terraced
"Unit A, Flat 14, 15, Cluny Place, London, Greater London SE1 4QS","£1,040,000",Flat
"Flat 32, Telford House, Tiverton Street, London, Greater London SE1 6NY","£340,000",flat
"Flat 46, Errington House, Brigade Mews, London, Greater London SE1 0GN","£630,500",Flat
"Flat 4, 102, Long Lane, London, Greater London SE1 4BN","£505,000",Flat
"Flat 307, Bankside Lofts, 65, Hopton Street, London, Greater London SE1 9JL","£800,000",Flat
"Flat 516, Whitehouse Apartments, 9, Belvedere Road, London, Greater London SE1 8YT","£1,190,000",Flat
"34, Buckstone Apartments, 140, Blackfriars Road, London, Greater London SE1 8BW","£225,000",Flat
"40c, Maltings Place, London, Greater London SE1 3JB","£420,000",Flat
"Flat 532, Whitehouse Apartments, 9, Belvedere Road, London, Greater London SE1 8YT","£490,000",Flat
"Flat 3, 28, Clennam Street, London, Greater London SE1 1ER","£574,500",Flat
"Flat 14, Davies House, 1, Brigade Mews, London, Greater London SE1 0GG","£764,000",Flat
"Apartment 203, Western Building, 3, Triptych Place, London, Greater London SE1 9FL","£708,100",Flat
"1, Windlesham House, Duchess Walk, London, Greater London SE1 2RZ","£1,175,000",Flat
"Flat 247, Whitehouse Apartments, 9, Belvedere Road, London, Greater London SE1 8YR","£470,000",Flat
"35, Elim Estate, London, Greater London SE1 4BZ","£400,000",Flat
"Flat 9, Zeiss Court, 46, Lancaster Street, London, Greater London SE1 0FY","£735,000",Flat
