Address,Price,Property Type
"Flat 14, Godfree Court, 35, Long Lane, London, Greater London SE1 4PS","£750,000",Flat
"Flat 502, 151, Tower Bridge Road, London, Greater London SE1 3JE","£790,000",Flat
"Flat 14, 1, Disney Place, London, Greater London SE1 1HP","£1,370,000",Flat
"Flat 100, Devon Mansions, Tooley Street, London, Greater London SE1 2NX","£535,000",flat
"158, Southwark Bridge Road, London, Greater London SE1 0DG","£425,000",Flat
"Flat 27, Walpole House, 126, Westminster Bridge Road, London, Greater London SE1 7UN","£530,000",Flat
"Flat 508, 151, Tower Bridge Road, London, Greater London SE1 3JE","£687,500",Flat
"Flat 57, 18, Great Suffolk Street, London, Greater London SE1 0UG","£785,000",Flat
"Flat 7, Bath House, Bath Terrace, London, Greater London SE1 6PU","£445,000",flat
"Flat 012, Whitehouse Apartments, 9, Belvedere Road, London, Greater London SE1 8YP","£1,400,000",Flat
"28, Maltings Place, London, Greater London SE1 3JB","£467,000",Flat
"Flat 14, 25, Harper Road, London, Greater London SE1 6AW","£710,000",Flat
"Flat 141, North Block 1c, Belvedere Road, London, Greater London SE1 7GF","£620,000",Flat
"Flat 34, Otford House, Staple Street, London, Greater London SE1 4LS","£450,000",flat
"Second And Third Floor Flat, 33, Pearman Street, London, Greater London SE1 7RB","£980,000",flat
"Flat 14, Anchor Terrace, 3 - 13, Southwark Bridge Road, London, Greater London SE1 9HQ","£690,000",Flat
"Flat 30, Matheson Lang Gardens, Baylis Road, London, Greater London SE1 7AN","£520,000",flat
"Apartment 245, 1, Blackfriars Road, London, Greater London SE1 9GQ","£2,426,500",Flat
"2, Dunsterville Way, London, Greater London SE1 3RJ","£650,000",flat
"53, Kennington Road, London, Greater London SE1 7PZ","£765,000",terraced
"Apartment 8, Aston Webb House, Tooley Street, London, Greater London SE1 2AT","£925,000",flat
"Flat 28, Crayford House, Tabard Garden Estate, London, Greater London SE1 4BU","£500,000",Flat
"Maisonette 3, 175, Southwark Bridge Road, London, Greater London SE1 0ED","£810,000",Flat
"Flat 102a, Larch Court, 2, Royal Oak Yard, London, Greater London SE1 3GB","£515,000",Flat
"Flat 47, Munro House, Murphy Street, London, Greater London SE1 7AL","£625,000",flat
