Address,Price,Property Type
"Flat 8, Davies House, 1, Brigade Mews, London, Greater London SE1 0GG","£955,000",Flat
"Flat 5, Skylark Court, 14, Swan Street, London, Greater London SE1 1BJ","£730,000",Flat
"Flat 236, Helen Gladstone House, Nelson Square, London, Greater London SE1 0QB","£325,000",flat
"Flat 52, Old Theatre Court, 123, Park Street, London, Greater London SE1 9ES","£873,000",Flat
"Flat 3, Shaftesbury Court, 1, Alderney Mews, London, Greater London SE1 4JR","£700,000",Flat
"Flat 17, St. Georges Court, Garden Row, London, Greater London SE1 6HD","£400,000",Flat
"19, Elim Estate, London, Greater London SE1 4BY","£475,000",Flat
"Apartment 3, Capacity House, 6, Rothsay Street, London, Greater London SE1 4UD","£700,000",Flat
"35b, The Cut, London, Greater London SE1 8LF","£910,000",Terraced
"Flat 27, 130, Webber Street, London, Greater London SE1 0JN","£435,000",Flat
"Flat 17, Globe View House, 171, Blackfriars Road, London, Greater London SE1 8ER","£725,000",Flat
"10, Windlesham House, Duchess Walk, London, Greater London SE1 2RZ","£1,200,000",Flat
"Flat 521, Whitehouse Apartments, 9, Belvedere Road, London, Greater London SE1 8YT","£765,000",Flat
"Flat 522, Whitehouse Apartments, 9, Belvedere Road, London, Greater London SE1 8YT","£875,000",Flat
"Flat 503, Block B, 60, Holland Street, London, Greater London SE1 9JF","£720,000",Flat
"32, Oakey Lane, London, Greater London SE1 7HL","£600,000",flat
"12, Cooper Close, London, Greater London SE1 7QU","£351,000",flat
"Apartment 115, Metro Central Heights, 119, Newington Causeway, London, Greater London SE1 6BB","£515,000",Flat
"Flat 33, Eastwell House, Weston Street, London, Greater London SE1 4DH","£430,000",flat
"Flat 47, River Court, Upper Ground, London, Greater London SE1 9PE","£685,000",flat
"4, Gladstone Street, London, Greater London SE1 6EY","£1,075,000",terraced
"Flat 16, Selbourne House, Great Dover Street, London, Greater London SE1 4XX","£445,000",flat
"Flat 44, Rennie Court, 11, Upper Ground, London, Greater London SE1 9LP","£866,250",Flat
"Flat 2, 32, Cluny Place, London, Greater London SE1 4QU","£724,000",Flat
"1, Horsemongers Mews, London, Greater London SE1 4GG","£2,460,000",semi-detached
