Address,Price,Property Type
"21, Oxford Drive, London, Greater London SE1 2FB","£1,000,000",flat
"Flat 18, Godfree Court, 35, Long Lane, London, Greater London SE1 4PS","£755,000",Flat
"Flat 182, South Block 1b, Belvedere Road, London, Greater London SE1 7GE","£520,000",Flat
"Flat 18, Balin House, Long Lane, London, Greater London SE1 1YQ","£415,000",flat
"13, Potier Street, London, Greater London SE1 4UX","£649,500",flat
"Flat 015, Whitehouse Apartments, 9, Belvedere Road, London, Greater London SE1 8YP","£990,000",Flat
"Flat 7, 1, Bowling Green Place, London, Greater London SE1 1YL","£710,000",Flat
"Flat 202, Cedar Court, 1, Royal Oak Yard, London, Greater London SE1 3GA","£640,000",Flat
"Flat 64, Walpole House, 126, Westminster Bridge Road, London, Greater London SE1 7UN","£555,000",Flat
"Flat 16, Lingfield House, Lancaster Street, London, Greater London SE1 0RW","£475,000",flat
"Flat 70, 18, Great Suffolk Street, London, Greater London SE1 0UG","£470,000",Flat
"Flat 711, Whitehouse Apartments, 9, Belvedere Road, London, Greater London SE1 8YU","£500,000",Flat
"Flat 9, Three Bridges, 22 - 28, Whites Grounds, London, Greater London SE1 3LA","£458,000",Flat
"Flat 2, Longstone Court, 22, Great Dover Street, London, Greater London SE1 4LB","£675,000",Flat
"Apartment 1711, 251, Southwark Bridge Road, London, Greater London SE1 6FL","£560,000",Flat
"Flat 121, North Block 1d, Belvedere Road, London, Greater London SE1 7GH","£485,000",Flat
"Flat 19, Climsland House, Duchy Street, London, Greater London SE1 8AF","£523,300",flat
"21, Ayres Street, London, Greater London SE1 1ES","£624,995",flat
"Apartment 216, 1, Blackfriars Road, London, Greater London SE1 9GQ","£1,060,000",Flat
"3001, 1, Casson Square, London, Greater London SE1 7RX","£3,750,000",Flat
"Flat 2, Park West Apartments, 40, Tanner Street, London, Greater London SE1 3LG","£720,000",Flat
"Flat 24, Benson House, Hatfields, London, Greater London SE1 8DQ","£430,000",flat
"29, Boulevard Apartments, 33, Ufford Street, London, Greater London SE1 8FF","£1,125,000",Flat
"68, Balmoral House, Earls Way, London, Greater London SE1 2QR","£1,275,000",Flat
"44, Maltings Place, London, Greater London SE1 3JB","£425,000",Flat
