Address,Price,Property Type
"Flat 32, Walpole House, 126, Westminster Bridge Road, London, Greater London SE1 7UN","£620,000",Flat
"Flat 4, Polychrome Court, 241, Waterloo Road, London, Greater London SE1 8XH","£600,000",Flat
"37, Scovell Crescent, London, Greater London SE1 1PS","£737,000",terraced
"Flat 12, Geoffrey House, Pardoner Street, London, Greater London SE1 4DW","£489,569",flat
"Flat 3, 3, Market Yard Mews, London, Greater London SE1 3TJ","£661,234",Flat
"40a, Maltings Place, London, Greater London SE1 3JB","£425,000",Flat
"Apartment 252, 1, Blackfriars Road, London, Greater London SE1 9GQ","£5,700,000",Flat
"Apartment 225, Metro Central Heights, 119, Newington Causeway, London, Greater London SE1 6BW","£467,000",Flat
"Flat 13, Lumiere Court, 52, Lancaster Street, London, Greater London SE1 0RY","£1,150,000",Flat
"Flat 12, Trinity House, Bath Terrace, London, Greater London SE1 6PX","£450,000",flat
"Flat 205, 118, Southwark Bridge Road, London, Greater London SE1 0BQ","£500,000",Flat
"Flat 18, Dawkins Court, 2, Garland Close, London, Greater London SE1 6AY","£865,000",Flat
"Flat 7, 1, Murphy Street, London, Greater London SE1 7FP","£1,170,000",Flat
"Flat 2, Maple Building, 128, Borough High Street, London, Greater London SE1 1LB","£585,000",Flat
"46, Tudor House, Duchess Walk, London, Greater London SE1 2SA","£715,000",Flat
"305, Madison Apartments, 5 - 27, Long Lane, London, Greater London SE1 4PF","£500,000",Flat
"502, Madison Apartments, 5 - 27, Long Lane, London, Greater London SE1 4PF","£522,000",Flat
"Flat 508, 118, Southwark Bridge Road, London, Greater London SE1 0BQ","£664,000",Flat
"Flat 5, 4, Archie Street, London, Greater London SE1 3JT","£850,000",Flat
"Flat 13, Palmerston House, 126, Westminster Bridge Road, London, Greater London SE1 7UW","£675,000",Flat
"Flat 1, 1, Leathermarket Street, London, Greater London SE1 3HN","£875,000",Flat
"Apartment 18, 4, Sanctuary Street, London, Greater London SE1 1EA","£580,000",Flat
"13, Buckstone Apartments, 140, Blackfriars Road, London, Greater London SE1 8BW","£172,500",Flat
"11, West Square, London, Greater London SE11 4SN","£2,590,000",terraced
"Flat 33, Aylesford House, Long Lane, London, Greater London SE1 4BL","£403,000",flat
