Address,Price,Property Type
"Flat 34, 140, Southwark Bridge Road, London, Greater London SE1 0DG","£600,000",Flat
"Flat 8, Sumner Buildings, Sumner Street, London, Greater London SE1 9JX","£575,000",flat
"Flat 30, Lion Court, 12, Shand Street, London, Greater London SE1 2EP","£540,000",Flat
"Flat 1, 45, Nelson Square, London, Greater London SE1 0QA","£800,000",Flat
"2, Garden Row, London, Greater London SE1 6HB","£561,000",terraced
"Apartment 9, Benbow House, 24, New Globe Walk, London, Greater London SE1 9DS","£1,520,000",Flat
"92b, Maltings Place, London, Greater London SE1 3LJ","£560,000",Flat
"Flat 515, Whitehouse Apartments, 9, Belvedere Road, London, Greater London SE1 8YT","£950,000",Flat
"22, Bath Terrace, London, Greater London SE1 6QE","£430,000",flat
"10, Tanners Yard, 239, Long Lane, London, Greater London SE1 4PT","£615,000",Flat
"Flat 7, Vaughan House, Nelson Square, London, Greater London SE1 0PY","£465,000",flat
"Flat 11, Devonshire House, Bath Terrace, London, Greater London SE1 6PT","£432,500",flat
"Flat 9, 70, Great Suffolk Street, London, Greater London SE1 0BL","£1,105,000",Flat
"Flat 2, Dawkins Court, 2, Garland Close, London, Greater London SE1 6AY","£500,000",Flat
"Flat 8, 2, Archie Street, London, Greater London SE1 3JT","£960,000",Flat
"Apartment 22, 4, Sanctuary Street, London, Greater London SE1 1EA","£460,000",Flat
"Flat 27, Lion Court, 12, Shand Street, London, Greater London SE1 2EP","£865,000",Flat
"4, Bermondsey Square, London, Greater London SE1 3UN","£1,825,000",terraced
"Flat 60, 18, Great Suffolk Street, London, Greater London SE1 0UG","£490,000",Flat
"Flat 1, 191, Bermondsey Street, London, Greater London SE1 3UW","£725,000",Flat
"2007, 1, Casson Square, London, Greater London SE1 7EN","£865,000",Flat
"Flat F, 96, Lower Marsh, London, Greater London SE1 7AB","£820,000",Flat
"Flat 19, Shaftesbury Court, 2, Alderney Mews, London, Greater London SE1 4JR","£660,000",Flat
"Flat 2, Lumiere Court, 52, Lancaster Street, London, Greater London SE1 0RY","£148,750",Flat
"Flat 30, Russell Lodge, 22, Spurgeon Street, London, Greater London SE1 4YJ","£715,000",Flat
