Address,Price,Property Type
"Apartment 2104, 1, Casson Square, London, Greater London SE1 7GT","£1,679,007",Flat
"Flat 408, 151, Tower Bridge Road, London, Greater London SE1 3JE","£648,150",Flat
"Flat 301, 151, Tower Bridge Road, London, Greater London SE1 3JE","£600,000",Flat
"43, Boulevard Apartments, 33, Ufford Street, London, Greater London SE1 8FF","£832,350",Flat
"21, Roupell Street, London, Greater London SE1 8SP","£1,300,000",terraced
"Apartment 2203, 1, Casson Square, London, Greater London SE1 7EN","£1,786,000",Flat
"408, 1, Casson Square, London, Greater London SE1 7GT","£580,000",Flat
"Flat 204, 5, Belvedere Road, London, Greater London SE1 7AF","£2,512,500",Flat
"Flat 102, Block A, 50, Holland Street, London, Greater London SE1 9FU","£1,055,000",Flat
"Flat 47, Selbourne House, Great Dover Street, London, Greater London SE1 4XX","£395,000",flat
"5, Burrows Mews, London, Greater London SE1 8LD","£1,150,000",terraced
"24, Boulevard Apartments, 33, Ufford Street, London, Greater London SE1 8FF","£788,500",Flat
"2003, 1, Casson Square, London, Greater London SE1 7GT","£1,500,000",Flat
"Apartment 205, West Block, Forum Magnum Square, London, Greater London SE1 7GL","£510,000",flat
"Flat 11, Brunlees House, Bath Terrace, London, Greater London SE1 6QF","£391,000",Flat
"Flat 17, Laurie House, Gaywood Street, London, Greater London SE1 6HQ","£517,500",flat
"32, Cooper Close, London, Greater London SE1 7QU","£369,000",flat
"Flat A, New British Wharf, Clink Street, London, Greater London SE1 9DG","£5,700,000",Flat
"47, Collinson Walk, London, Greater London SE1 1PU","£375,750",flat
"13b, Wilds Rents, London, Greater London SE1 4QG","£1,425,000",Flat
"Apartment 1401, 55, Upper Ground, London, Greater London SE1 9EY","£1,425,000",Flat
"Flat 82, Longridge House, Falmouth Road, London, Greater London SE1 6QW","£352,500",flat
"Apartment 3203, 1, Casson Square, London, Greater London SE1 7GT","£2,225,000",Flat
"24, Gallery Apartments, 6, Lamb Walk, London, Greater London SE1 3GL","£775,000",Flat
"Flat 4, Hambridge House, 59a, Webber Street, London, Greater London SE1 0RF","£775,000",Flat
