Address,Price,Property Type
"32, Boulevard Apartments, 33, Ufford Street, London, Greater London SE1 8FF","£825,000",Flat
"Apartment 302, 251, Southwark Bridge Road, London, Greater London SE1 6FJ","£167,500",Flat
"Flat 68, Longridge House, Falmouth Road, London, Greater London SE1 6QW","£320,000",flat
"61, Leathermarket Court, London, Greater London SE1 3HS","£580,000",flat
"2702, 30, Casson Square, London, Greater London SE1 7DY","£7,000,000",Flat
"Flat 7, Trinity House, Bath Terrace, London, Greater London SE1 6PX","£350,500",flat
"30, Boulevard Apartments, 33, Ufford Street, London, Greater London SE1 8FF","£648,000",Flat
"Flat 9, Palmerston House, 126, Westminster Bridge Road, London, Greater London SE1 7UW","£550,000",Flat
"Apartment 311, West Block, Forum Magnum Square, London, Greater London SE1 7GL","£495,000",flat
"Flat 91, Ratcliffe Court, Great Dover Street, London, Greater London SE1 4LD","£650,000",flat
"Flat 5, The Grain Store, 70, Weston Street, London, Greater London SE1 3HJ","£578,500",Flat
"Flat 202, 151, Tower Bridge Road, London, Greater London SE1 3JE","£600,000",Flat
"Flat 2707, 8, Casson Square, London, Greater London SE1 7RN","£1,600,000",Flat
"Flat 34, Crayford House, Tabard Garden Estate, London, Greater London SE1 4BU","£407,000",flat
"Flat 115, 118, Southwark Bridge Road, London, Greater London SE1 0BQ","£475,000",Flat
"59, Balmoral House, Earls Way, London, Greater London SE1 2QR","£1,075,000",Flat
"Flat 401, 151, Tower Bridge Road, London, Greater London SE1 3JE","£600,000",Flat
"Flat 2, Portland Court, 54, Trinity Street, London, Greater London SE1 4JZ","£630,000",Flat
"Flat 105, Block B, 60, Holland Street, London, Greater London SE1 9JF","£1,845,000",Flat
"2901, 1, Casson Square, London, Greater London SE1 7RX","£3,438,500",Flat
"Flat 9, Guthrie Court, Morley Street, London, Greater London SE1 7QQ","£380,000",flat
"Flat 1, Hambridge House, 59a, Webber Street, London, Greater London SE1 0RF","£760,000",Flat
"13, Boulevard Apartments, 33, Ufford Street, London, Greater London SE1 8FF","£955,350",Flat
"Flat C702, 90 - 91, Blackfriars Road, London, Greater London SE1 8HW","£1,030,000",Flat
"Flat 429, Whitehouse Apartments, 9, Belvedere Road, London, Greater London SE1 8YS","£500,000",Flat
