Address,Price,Property Type
"Apartment 2610, 251, Southwark Bridge Road, London, Greater London SE1 6FN","£1,030,000",Flat
"Flat 28, Bridgewalk Heights, 80, Weston Street, London, Greater London SE1 3QZ","£1,050,000",Flat
"Flat 14, The Priory, 47 - 55, Webber Street, London, Greater London SE1 0RQ","£218,000",Flat
"57, Oakey Lane, London, Greater London SE1 7HN","£600,000",flat
"Flat 4, 46, Borough Road, London, Greater London SE1 0AJ","£425,000",Flat
"Apartment 58, 1, Blackfriars Road, London, Greater London SE1 9GD","£727,200",Flat
"Flat 207, 21a, Rothsay Street, London, Greater London SE1 4BF","£600,000",Flat
"2, 24a, Marshalsea Road, London, Greater London SE1 1HF","£820,000",Flat
"Flat 18, Jurston Court, Gerridge Street, London, Greater London SE1 7QH","£408,500",flat
"Flat 13, Trinity House, Bath Terrace, London, Greater London SE1 6PX","£285,000",flat
"27, Oxford Drive, London, Greater London SE1 2FB","£620,000",flat
"Apartment 904, 251, Southwark Bridge Road, London, Greater London SE1 6FJ","£180,000",Flat
"Apartment 2106, 251, Southwark Bridge Road, London, Greater London SE1 6FN","£1,010,000",Flat
"17, Isaac Way, London, Greater London SE1 1EE","£600,000",flat
"Apartment 1301, 55, Upper Ground, London, Greater London SE1 9EY","£1,100,000",Flat
"Flat 32, Shalford House, Law Street, London, Greater London SE1 4XF","£375,000",flat
"Flat 28, Bazeley House, Library Street, London, Greater London SE1 0RN","£542,000",flat
"Flat 304, 118, Southwark Bridge Road, London, Greater London SE1 0BQ","£465,000",Flat
"Flat 6, 30, Trinity Street, London, Greater London SE1 4FF","£1,040,000",Flat
"45, Tudor House, Duchess Walk, London, Greater London SE1 2SA","£697,945",Flat
"Flat 7, The Priory, 47 - 55, Webber Street, London, Greater London SE1 0RQ","£337,000",Flat
"Flat 10, Quastel House, 32, Long Lane, London, Greater London SE1 4AY","£470,000",Flat
"Apartment 6, 8, Bluelion Place, London, Greater London SE1 4PU","£640,000",Flat
"15, Gallery Apartments, 6, Lamb Walk, London, Greater London SE1 3GL","£782,500",Flat
"39c, Trinity Street, London, Greater London SE1 4JA","£830,100",Flat
