Address,Price,Property Type
"Flat 15, Anchor Terrace, 3 - 13, Southwark Bridge Road, London, Greater London SE1 9HQ","£812,000",Flat
"Flat 25, Markstone House, Lancaster Street, London, Greater London SE1 0RL","£457,000",flat
"Flat 12, Rudyard Court, 127, Long Lane, London, Greater London SE1 4PW","£720,000",Flat
"1, Boulevard Apartments, 33, Ufford Street, London, Greater London SE1 8FF","£890,000",Flat
"Apartment 2206, 1, Casson Square, London, Greater London SE1 7GT","£1,229,300",Flat
"Flat 10, Brunlees House, Bath Terrace, London, Greater London SE1 6QF","£400,000",Flat
"Flat 16, Zeiss Court, 46, Lancaster Street, London, Greater London SE1 0FY","£700,000",Flat
"Flat 21, Overy House, Webber Row, London, Greater London SE1 8QX","£660,000",flat
"Apartment 407, West Block, Forum Magnum Square, London, Greater London SE1 7GL","£515,000",Flat
"Flat 29, Northfleet House, Tabard Garden Estate, London, Greater London SE1 1YX","£360,000",flat
"Basement Flat, 152, Southwark Bridge Road, London, Greater London SE1 0DG","£730,000",Flat
"21, Chatsworth House, Duchess Walk, London, Greater London SE1 2RY","£1,050,000",Flat
"Flat 410, 118, Southwark Bridge Road, London, Greater London SE1 0BQ","£512,300",Flat
"Flat 603 Block B, 27, Green Walk, London, Greater London SE1 4TX","£1,325,000",Flat
"16, Boulevard Apartments, 33, Ufford Street, London, Greater London SE1 8FF","£1,090,000",Flat
"Flat 22, Gerridge Court, Gerridge Street, London, Greater London SE1 7QF","£525,000",flat
"Flat 23, Bramwell House, Harper Road, London, Greater London SE1 6RL","£375,000",flat
"23, Pearman Street, London, Greater London SE1 7RB","£1,140,000",Terraced
"Flat B, 58, St Georges Road, London, Greater London SE1 6ET","£430,000",Flat
"122, Meakin Estate, London, Greater London SE1 4QP","£415,000",Flat
"Flat 10, Stephenson House, Bath Terrace, London, Greater London SE1 6PP","£385,000",Flat
"Flat 101, 151, Tower Bridge Road, London, Greater London SE1 3JE","£645,000",Flat
"Flat 103, 151, Tower Bridge Road, London, Greater London SE1 3JE","£700,000",Flat
"Apartment 1405, 55, Upper Ground, London, Greater London SE1 9EY","£870,000",Flat
"Flat 6, 29a, Bath Terrace, London, Greater London SE1 6PS","£630,000",Flat
