Address,Price,Property Type
"Apartment 1, 177 - 179, Southwark Bridge Road, London, Greater London SE1 0ED","£610,000",Flat
"Flat 18, 91, Great Suffolk Street, London, Greater London SE1 0BX","£450,000",Flat
"59, Harper Road, London, Greater London SE1 6AP","£738,534",Terraced
"Flat 256, North Block 1d, Belvedere Road, London, Greater London SE1 7GH","£450,000",Flat
"Flat 8, Brandon House, 10, Hilary Mews, London, Greater London SE1 1AP","£920,000",Flat
"Flat 2, Brandon House, 10, Hilary Mews, London, Greater London SE1 1AP","£955,000",Flat
"Flat 3, 41, Great Guildford Street, London, Greater London SE1 0ES","£1,000,000",Flat
"Flat 209, 118, Southwark Bridge Road, London, Greater London SE1 0BQ","£570,000",Flat
"Flat 26, Devonshire House, Bath Terrace, London, Greater London SE1 6PT","£400,000",flat
"Flat 24, Patrick Court, 92, Webber Street, London, Greater London SE1 0GB","£610,000",Flat
"Flat 6, 79, Bermondsey Street, London, Greater London SE1 3XF","£1,015,000",Flat
"18, Frazier Street, London, Greater London SE1 7BG","£300,000",flat
"4, Isaac Way, London, Greater London SE1 1EE","£617,000",flat
"Flat 73, 12, Bermondsey Square, London, Greater London SE1 3FD","£770,000",Flat
"5, Isaac Way, London, Greater London SE1 1EE","£435,000",flat
"Flat 98, Devon Mansions, Tooley Street, London, Greater London SE1 2NX","£495,000",flat
"12, Tudor House, Duchess Walk, London, Greater London SE1 2SA","£690,000",Flat
"Flat 40, Stephenson House, Bath Terrace, London, Greater London SE1 6PR","£361,000",flat
"Flat 42, Nashe House, Burbage Close, London, Greater London SE1 4ET","£375,000",flat
"36, Sandringham House, Earls Way, London, Greater London SE1 2QX","£1,800,000",Flat
"Flat 702, Block D, 5, Sumner Street, London, Greater London SE1 9RE","£1,075,000",Flat
"Flat 7, Tabard House, Manciple Street, London, Greater London SE1 4DL","£407,000",flat
"46, West Square, London, Greater London SE11 4SP","£1,410,000",terraced
"Flat 5, 46, Borough Road, London, Greater London SE1 0AJ","£400,000",Flat
"Apartment 2009, 251, Southwark Bridge Road, London, Greater London SE1 6FN","£780,000",Flat
