Address,Price,Property Type
"8, Brigade Mews, London, Greater London SE1 0GJ","£915,000",Flat
"Flat 24, Davies House, 1, Brigade Mews, London, Greater London SE1 0GG","£789,000",Flat
"Flat 9, Cuthburt House, 6, Brigade Mews, London, Greater London SE1 0GJ","£920,000",Flat
"15, Sawyer Street, London, Greater London SE1 0EQ","£1,385,000",Flat
"Flat 7, Cuthbert House, 6, Brigade Mews, London, Greater London SE1 0GJ","£905,000",Flat
"Flat 6, The Perspective, 100, Westminster Bridge Road, London, Greater London SE1 7XA","£735,000",Flat
"Flat 1, Davies House, 1, Brigade Mews, London, Greater London SE1 0GG","£663,000",Flat
"Flat 4, Cuthburt House, 6, Brigade Mews, London, Greater London SE1 0GJ","£921,600",Flat
"Flat 7, Zeiss Court, 46, Lancaster Street, London, Greater London SE1 0FY","£525,000",Flat
"Flat 1, Swallow Court, 2, Swan Street, London, Greater London SE1 1BA","£855,000",Flat
"10, Brigade Mews, London, Greater London SE1 0GJ","£930,000",Flat
"Flat 3, Davies House, 1, Brigade Mews, London, Greater London SE1 0GG","£750,000",Flat
"Flat 3, Cuthbert House, 6, Brigade Mews, London, Greater London SE1 0GJ","£1,275,000",Flat
"26, Frazier Street, London, Greater London SE1 7BG","£286,000",Flat
"Flat 21, Sumner Buildings, Sumner Street, London, Greater London SE1 9JX","£450,000",flat
"1205, 1, Casson Square, London, Greater London SE1 7GT","£1,625,000",Flat
"8, Gladstone Street, London, Greater London SE1 6EY","£1,290,000",terraced
"9, Windlesham House, Duchess Walk, London, Greater London SE1 2RZ","£1,400,000",Flat
"Apartment 72, Metro Central Heights, 119, Newington Causeway, London, Greater London SE1 6BA","£475,000",Flat
"Apartment 1302, 251, Southwark Bridge Road, London, Greater London SE1 6FL","£850,000",Flat
"5, Whitehorse Mews, 37, Westminster Bridge Road, London, Greater London SE1 7QD","£730,000",Terraced
"Flat 3, 7, Valentine Place, London, Greater London SE1 8QH","£635,000",Flat
"Apartment 134, Metro Central Heights, 119, Newington Causeway, London, Greater London SE1 6BB","£1,125,000",Flat
"Apartment 1301, 251, Southwark Bridge Road, London, Greater London SE1 6FL","£580,000",Flat
"Flat 19, Tangerine House, 176, Long Lane, London, Greater London SE1 4BS","£395,000",Flat
