Address,Price,Property Type
"Flat 208, 118, Southwark Bridge Road, London, Greater London SE1 0BQ","£845,000",Flat
"44, Rothsay Street, London, Greater London SE1 4UE","£750,000",terraced
"Flat 10, 25, Broadwall, London, Greater London SE1 9PS","£800,000",Flat
"25a, Tower Bridge Road, London, Greater London SE1 4TL","£500,000",flat
"Flat 23, Tanner House, Tanner Street, London, Greater London SE1 3LL","£510,000",flat
"5, Sandringham House, Earls Way, London, Greater London SE1 2QX","£720,000",Flat
"Flat 27, 34, Long Lane, London, Greater London SE1 4NN","£285,000",Flat
"Flat 22, Globe View House, 171, Blackfriars Road, London, Greater London SE1 8ER","£975,000",Flat
"Flat 5, 1, Sudrey Street, London, Greater London SE1 1PF","£1,170,000",Flat
"Flat 4, 45, Tower Bridge Road, London, Greater London SE1 4TL","£552,500",Flat
"33, Tyers Estate, London, Greater London SE1 3JG","£400,000",Flat
"13, Cooper Close, London, Greater London SE1 7QU","£357,082",flat
"114, Whites Grounds Estate, London, Greater London SE1 3JX","£560,000",flat
"Flat 15, Brandon House, 10, Hilary Mews, London, Greater London SE1 1AP","£1,330,000",Flat
"Flat 1, Overy House, Webber Row, London, Greater London SE1 8QX","£605,000",flat
"Flat 52, 12, Bermondsey Square, London, Greater London SE1 3FD","£980,000",Flat
"Flat 2, 64, Southwark Bridge Road, London, Greater London SE1 0AS","£900,000",Flat
"Apartment 710, 251, Southwark Bridge Road, London, Greater London SE1 6FJ","£720,000",Flat
"Flat 25, 237, Union Street, London, Greater London SE1 0LR","£780,000",Flat
"Apartment 1803, 251, Southwark Bridge Road, London, Greater London SE1 6FL","£547,000",Flat
"Apartment 414, Metro Central Heights, 119, Newington Causeway, London, Greater London SE1 6DT","£455,000",Flat
"Apartment 2907, 251, Southwark Bridge Road, London, Greater London SE1 6FP","£1,070,000",Flat
"Apartment 1707, 251, Southwark Bridge Road, London, Greater London SE1 6FL","£575,000",Flat
"Flat 5, Devonshire House, Bath Terrace, London, Greater London SE1 6PT","£370,000",flat
"Apartment 3006, 251, Southwark Bridge Road, London, Greater London SE1 6FP","£651,000",Flat
